INFO 2025-12-09 22:08:49,491 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-12-09 22:08:49,495 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-12-09 22:08:49,506 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-12-09 22:08:49,511 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-12-09 22:08:49,515 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-12-09 22:08:49,520 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-12-09 22:08:49,541 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-12-09 22:08:49,541 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-12-09 22:08:55,803 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 18024
INFO 2025-12-09 22:08:55,856 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-12-09 22:08:55,856 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-12-09 22:08:55,859 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-12-09 22:08:55,860 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-12-09 22:08:55,866 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-12-09 22:08:55,866 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-12-09 22:08:55,873 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-12-09 22:08:55,877 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-12-09 22:08:55,878 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-12-09 22:08:55,880 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-12-09 22:08:55,885 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-12-09 22:08:55,891 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:08:55,925 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-12-09 22:08:56,009 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-12-09 22:08:56,013 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-12-09 22:08:56,014 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-12-09 22:08:58,607 basehttp "GET /admin/ HTTP/1.1" 200 15048
INFO 2025-12-09 22:09:00,267 basehttp "GET /admin/events/event/ HTTP/1.1" 200 16657
INFO 2025-12-09 22:09:00,337 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:09:03,544 basehttp "GET /admin/events/event/add/ HTTP/1.1" 200 32528
INFO 2025-12-09 22:09:03,589 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8710
INFO 2025-12-09 22:09:03,590 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-12-09 22:09:03,591 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-12-09 22:09:03,591 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-12-09 22:09:03,624 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:09:03,651 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-12-09 22:09:03,652 basehttp "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-12-09 22:09:03,658 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-12-09 22:09:03,873 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-12-09 22:09:03,876 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-12-09 22:09:08,155 basehttp "GET /admin/events/event/ HTTP/1.1" 200 16657
INFO 2025-12-09 22:09:09,197 basehttp "GET /admin/ HTTP/1.1" 200 15048
INFO 2025-12-09 22:10:00,801 basehttp "GET /api/tickets HTTP/1.1" 301 0
ERROR 2025-12-09 22:10:00,809 exceptions Exception occurred: NotAuthenticated - Las credenciales de autenticación no se proveyeron.
WARNING 2025-12-09 22:10:00,828 log Unauthorized: /api/tickets/
WARNING 2025-12-09 22:10:00,830 basehttp "GET /api/tickets/ HTTP/1.1" 401 5445
INFO 2025-12-09 22:10:00,872 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
